system,pattern_id,chain_len,chain,closed_form,observed,abs_drift
py_guards,36,4,0.627;0.555;0.576;0.643,0.12888250848000002,0.555,0.42611749152
py_guards,37,4,0.666;0.918;0.926;0.708,0.400830863904,0.666,0.265169136096
py_guards,38,4,0.724;0.872;0.649;0.529,0.216748160288,0.529,0.312251839712
py_guards,39,4,0.470;0.774;0.541;0.474,0.09328556052,0.47,0.37671443947999994
py_guards,40,2,0.545;0.473,0.257785,0.473,0.215215
py_guards,41,2,0.492;0.586,0.28831199999999996,0.492,0.20368800000000004
py_guards,42,3,0.490;0.878;0.775,0.3334205,0.49,0.15657949999999998
py_guards,43,2,0.604;0.354,0.21381599999999998,0.354,0.140184
py_guards,44,4,0.594;0.737;0.713;0.594,0.185408614116,0.594,0.408591385884
py_guards,45,4,0.524;0.651;0.351;0.712,0.085250981088,0.351,0.265749018912
py_guards,46,4,0.526;0.630;0.644;0.539,0.11502730008000002,0.526,0.41097269992
py_guards,47,4,0.647;0.701;0.709;0.510,0.16399805972999998,0.51,0.34600194027000003
py_guards,48,3,0.943;0.322;0.592,0.17975843199999997,0.322,0.14224156800000004
py_guards,49,2,0.356;0.786,0.279816,0.356,0.07618399999999997
py_guards,50,3,0.781;0.380;0.853,0.25315334,0.38,0.12684666
py_guards,51,4,0.406;0.721;0.921;0.491,0.132373917186,0.406,0.273626082814
py_guards,52,2,0.512;0.932,0.47718400000000005,0.512,0.03481599999999996
py_guards,53,4,0.318;0.444;0.620;0.411,0.03597854544,0.318,0.28202145456
py_guards,54,4,0.922;0.634;0.803;0.781,0.36659518636400007,0.634,0.26740481363599994
py_guards,55,3,0.403;0.852;0.523,0.179575188,0.403,0.22342481200000003
py_guards,56,2,0.852;0.884,0.753168,0.852,0.09883200000000003
py_guards,57,3,0.689;0.415;0.648,0.18528587999999996,0.415,0.22971412000000002
py_guards,58,3,0.326;0.395;0.547,0.07043719000000002,0.326,0.25556281
py_guards,59,2,0.634;0.396,0.251064,0.396,0.144936
py_guards,60,2,0.578;0.697,0.40286599999999995,0.578,0.175134
py_guards,61,2,0.878;0.938,0.823564,0.878,0.05443600000000004
py_guards,62,4,0.779;0.341;0.636;0.486,0.08210795234400001,0.341,0.25889204765600005
py_guards,63,2,0.518;0.929,0.48122200000000004,0.518,0.03677799999999998
py_guards,64,4,0.863;0.430;0.914;0.860,0.2916915836,0.43,0.13830841639999997
py_guards,65,2,0.869;0.920,0.7994800000000001,0.869,0.06951999999999992
py_guards,66,2,0.367;0.938,0.344246,0.367,0.022753999999999996
py_guards,67,4,0.440;0.595;0.424;0.880,0.09768281599999999,0.424,0.326317184
py_guards,68,4,0.694;0.503;0.500;0.657,0.114673437,0.5,0.385326563
py_guards,69,3,0.839;0.426;0.455,0.16262337,0.426,0.26337663
py_guards,70,4,0.777;0.575;0.636;0.370,0.105135093,0.37,0.264864907
py_guards,71,2,0.404;0.386,0.15594400000000003,0.386,0.23005599999999998
py_guards,72,3,0.639;0.947;0.369,0.223294077,0.369,0.145705923
py_guards,73,2,0.400;0.803,0.32120000000000004,0.4,0.07879999999999998
py_guards,74,4,0.324;0.578;0.895;0.796,0.13341631824,0.324,0.19058368176
py_guards,75,4,0.578;0.811;0.945;0.795,0.35216616645,0.578,0.22583383354999997
py_guards,76,2,0.705;0.467,0.329235,0.467,0.13776500000000003
py_guards,77,2,0.620;0.704,0.43648,0.62,0.18352000000000002
py_guards,78,3,0.416;0.604;0.860,0.21608703999999998,0.416,0.19991296
py_guards,79,4,0.329;0.807;0.673;0.848,0.15152362411200004,0.329,0.17747637588799997
py_guards,80,2,0.473;0.839,0.39684699999999995,0.473,0.07615300000000003
py_guards,81,3,0.335;0.806;0.887,0.23949887000000003,0.335,0.09550112999999999
py_guards,82,3,0.426;0.893;0.648,0.246510864,0.426,0.179489136
py_guards,83,2,0.474;0.612,0.29008799999999996,0.474,0.18391200000000002
py_guards,84,2,0.334;0.326,0.10888400000000001,0.326,0.217116
py_guards,85,4,0.769;0.802;0.779;0.549,0.263760957198,0.549,0.285239042802
py_guards,86,3,0.696;0.559;0.382,0.14862244800000002,0.382,0.233377552
py_guards,87,3,0.734;0.745;0.728,0.39809224000000004,0.728,0.32990775999999994
py_guards,88,4,0.498;0.587;0.435;0.479,0.06091050698999999,0.435,0.37408949301
py_guards,89,3,0.854;0.402;0.527,0.180923316,0.402,0.22107668400000002
py_guards,90,3,0.816;0.965;0.450,0.354348,0.45,0.09565200000000001
py_guards,91,4,0.533;0.756;0.620;0.480,0.1199173248,0.48,0.3600826752
py_guards,92,2,0.655;0.525,0.34387500000000004,0.525,0.18112499999999998
py_guards,93,4,0.959;0.302;0.673;0.410,0.07991429473999999,0.302,0.22208570526
py_guards,94,2,0.759;0.395,0.29980500000000004,0.395,0.09519499999999997
py_guards,95,3,0.814;0.673;0.534,0.292536948,0.534,0.241463052
